N,collisions,load factor
70000,25603,0.9938285714285714
140000,14790,0.4969142857142857
210000,10338,0.3312761904761905
280000,8126,0.24845714285714285
350000,6515,0.1987657142857143
420000,5416,0.16563809523809525
490000,4741,0.14197551020408164
560000,4167,0.12422857142857142
630000,3651,0.11042539682539683
700000,3404,0.09938285714285715
770000,3173,0.09034805194805194
840000,2809,0.08281904761904763
910000,2534,0.07644835164835165
980000,2470,0.07098775510204082
1050000,2285,0.06625523809523809
1120000,2117,0.06211428571428571
1190000,1961,0.058460504201680676
1260000,1866,0.055212698412698415
1330000,1845,0.05230676691729323
1400000,1766,0.049691428571428574
1470000,1652,0.04732517006802721
1540000,1639,0.04517402597402597
1610000,1477,0.043209937888198754
1680000,1427,0.04140952380952381
1750000,1386,0.039753142857142855
1820000,1267,0.038224175824175824
1890000,1206,0.03680846560846561
1960000,1256,0.03549387755102041
2030000,1206,0.034269950738916255
2100000,1147,0.033127619047619045
2170000,1188,0.032058986175115205
2240000,1087,0.031057142857142856
2310000,1103,0.030116017316017315
2380000,1012,0.029230252100840338
2450000,993,0.028395102040816328
2520000,955,0.027606349206349207
2590000,995,0.02686023166023166
2660000,985,0.026153383458646616
2730000,869,0.025482783882783883
2800000,834,0.024845714285714287
2870000,860,0.0242397212543554
2940000,833,0.023662585034013604
3010000,790,0.023112292358803986
3080000,876,0.022587012987012985
3150000,794,0.022085079365079367
3220000,774,0.021604968944099377
3290000,766,0.021145288753799393
3360000,695,0.020704761904761906
3430000,726,0.020282215743440232
3500000,714,0.019876571428571427
3570000,680,0.01948683473389356
3640000,627,0.019112087912087912
3710000,683,0.018751482479784365
3780000,612,0.018404232804232805
3850000,657,0.01806961038961039
3920000,637,0.017746938775510205
3990000,639,0.01743558897243108
4060000,610,0.017134975369458127
4130000,654,0.01684455205811138
4200000,574,0.016563809523809522
4270000,624,0.016292271662763466
4340000,566,0.016029493087557602
4410000,546,0.015775056689342405
4480000,579,0.015528571428571428
4550000,535,0.01528967032967033
4620000,566,0.015058008658008657
4690000,508,0.014833262260127931
4760000,525,0.014615126050420169
4830000,502,0.014403312629399586
4900000,503,0.014197551020408164
4970000,547,0.01399758551307847
5040000,493,0.013803174603174604
5110000,438,0.013614090019569472
5180000,519,0.01343011583011583
5250000,467,0.013251047619047619
5320000,497,0.013076691729323308
5390000,450,0.012906864564007421
5460000,444,0.012741391941391941
5530000,426,0.01258010849909584
5600000,409,0.012422857142857143
5670000,389,0.012269488536155202
5740000,447,0.0121198606271777
5810000,379,0.011973838209982789
5880000,438,0.011831292517006802
5950000,402,0.011692100840336134
6020000,387,0.011556146179401993
6090000,413,0.011423316912972086
6160000,387,0.011293506493506493
6230000,402,0.01116661316211878
6300000,396,0.011042539682539683
6370000,346,0.010921193092621665
6440000,433,0.010802484472049689
6510000,426,0.010686328725038403
6580000,413,0.010572644376899696
6650000,400,0.010461353383458646
6720000,367,0.010352380952380953
6790000,364,0.010245655375552283
6860000,339,0.010141107871720116
6930000,368,0.010038672438672439
7000000,369,0.009938285714285714
7070000,392,0.00983988684582744
7140000,360,0.00974341736694678
7210000,397,0.00964882108183079
7280000,310,0.009556043956043956
7350000,335,0.009465034013605442
7420000,360,0.009375741239892182
7490000,328,0.009288117489986649
7560000,321,0.009202116402116402
7630000,328,0.009117693315858454
7700000,338,0.009034805194805194
7770000,346,0.008953410553410554
7840000,315,0.008873469387755102
7910000,328,0.008794943109987357
7980000,356,0.00871779448621554
8050000,293,0.008641987577639752
8120000,313,0.008567487684729064
8190000,292,0.008494261294261294
8260000,308,0.00842227602905569
8330000,278,0.008351500600240097
8400000,276,0.008281904761904761
8470000,282,0.008213459268004722
8540000,314,0.008146135831381733
8610000,303,0.008079907084785133
