N,collisions,load factor
70000,25446,0.9938285714285714
140000,14819,0.4969142857142857
210000,10318,0.3312761904761905
280000,8006,0.24845714285714285
350000,6496,0.1987657142857143
420000,5472,0.16563809523809525
490000,4713,0.14197551020408164
560000,4123,0.12422857142857142
630000,3723,0.11042539682539683
700000,3411,0.09938285714285715
770000,3007,0.09034805194805194
840000,2801,0.08281904761904763
910000,2596,0.07644835164835165
980000,2465,0.07098775510204082
1050000,2225,0.06625523809523809
1120000,2198,0.06211428571428571
1190000,1979,0.058460504201680676
1260000,1894,0.055212698412698415
1330000,1814,0.05230676691729323
1400000,1703,0.049691428571428574
1470000,1634,0.04732517006802721
1540000,1547,0.04517402597402597
1610000,1485,0.043209937888198754
1680000,1391,0.04140952380952381
1750000,1307,0.039753142857142855
1820000,1331,0.038224175824175824
1890000,1259,0.03680846560846561
1960000,1240,0.03549387755102041
2030000,1151,0.034269950738916255
2100000,1131,0.033127619047619045
2170000,1206,0.032058986175115205
2240000,1102,0.031057142857142856
2310000,1032,0.030116017316017315
2380000,989,0.029230252100840338
2450000,948,0.028395102040816328
2520000,931,0.027606349206349207
2590000,908,0.02686023166023166
2660000,932,0.026153383458646616
2730000,846,0.025482783882783883
2800000,829,0.024845714285714287
2870000,846,0.0242397212543554
2940000,858,0.023662585034013604
3010000,913,0.023112292358803986
3080000,798,0.022587012987012985
3150000,770,0.022085079365079367
3220000,738,0.021604968944099377
3290000,783,0.021145288753799393
3360000,725,0.020704761904761906
3430000,738,0.020282215743440232
3500000,717,0.019876571428571427
3570000,657,0.01948683473389356
3640000,651,0.019112087912087912
3710000,592,0.018751482479784365
3780000,628,0.018404232804232805
3850000,633,0.01806961038961039
3920000,657,0.017746938775510205
3990000,577,0.01743558897243108
4060000,590,0.017134975369458127
4130000,609,0.01684455205811138
4200000,552,0.016563809523809522
4270000,604,0.016292271662763466
4340000,638,0.016029493087557602
4410000,577,0.015775056689342405
4480000,565,0.015528571428571428
4550000,553,0.01528967032967033
4620000,552,0.015058008658008657
4690000,515,0.014833262260127931
4760000,486,0.014615126050420169
4830000,538,0.014403312629399586
4900000,483,0.014197551020408164
4970000,510,0.01399758551307847
5040000,478,0.013803174603174604
5110000,535,0.013614090019569472
5180000,461,0.01343011583011583
5250000,454,0.013251047619047619
5320000,482,0.013076691729323308
5390000,445,0.012906864564007421
5460000,454,0.012741391941391941
5530000,449,0.01258010849909584
5600000,466,0.012422857142857143
5670000,442,0.012269488536155202
5740000,450,0.0121198606271777
5810000,462,0.011973838209982789
5880000,433,0.011831292517006802
5950000,382,0.011692100840336134
6020000,479,0.011556146179401993
6090000,375,0.011423316912972086
6160000,400,0.011293506493506493
6230000,426,0.01116661316211878
6300000,403,0.011042539682539683
6370000,409,0.010921193092621665
6440000,390,0.010802484472049689
6510000,392,0.010686328725038403
6580000,369,0.010572644376899696
6650000,383,0.010461353383458646
6720000,366,0.010352380952380953
6790000,378,0.010245655375552283
6860000,377,0.010141107871720116
6930000,354,0.010038672438672439
7000000,337,0.009938285714285714
7070000,349,0.00983988684582744
7140000,317,0.00974341736694678
7210000,341,0.00964882108183079
7280000,332,0.009556043956043956
7350000,339,0.009465034013605442
7420000,291,0.009375741239892182
7490000,332,0.009288117489986649
7560000,314,0.009202116402116402
7630000,350,0.009117693315858454
7700000,331,0.009034805194805194
7770000,305,0.008953410553410554
7840000,359,0.008873469387755102
7910000,346,0.008794943109987357
7980000,310,0.00871779448621554
8050000,308,0.008641987577639752
8120000,296,0.008567487684729064
8190000,288,0.008494261294261294
8260000,333,0.00842227602905569
8330000,269,0.008351500600240097
8400000,271,0.008281904761904761
8470000,302,0.008213459268004722
8540000,315,0.008146135831381733
8610000,294,0.008079907084785133
8680000,328,0.008014746543778801
8750000,263,0.00795062857142857
8820000,307,0.007887528344671203
8890000,293,0.007825421822272216
